점검일자,현장,공종,점검항목,위험등급,지적내용,조치상태,담당
2026-05-02,C현장,토공,사면,상,우기 대비 사면 보호·배수 미흡,미조치,이도현
2026-05-03,B현장,골조,콘크리트,중,양생 구간 자재 과적(적재하중 초과),완료,박정민
2026-05-05,A현장,골조,콘크리트,중,양생 구간 자재 과적(적재하중 초과),진행,김현수
2026-05-14,A현장,골조,철근/슬래브,상,개구부·단부 안전난간 미설치,완료,김현수
2026-05-15,B현장,전기,가설전기,중,분전반 누전차단기 작동 불량,진행,박정민
2026-05-16,B현장,토공,사면,상,우기 대비 사면 보호·배수 미흡,미조치,박정민
2026-05-17,B현장,토공,사면,상,우기 대비 사면 보호·배수 미흡,진행,박정민
2026-05-18,A현장,토공,흙막이/굴착,중,흙막이 가시설 계측(변위) 관리 미흡,미조치,김현수
2026-05-18,A현장,전기,조명,하,작업통로 조도 부족,완료,김현수
2026-05-19,C현장,외부비계,비계/발판,상,작업발판 단부 틈새·결속 불량,완료,이도현
2026-05-19,A현장,가설,고소작업,상,고소작업대(차량형) 안전대 미체결,완료,김현수
2026-05-19,A현장,토공,흙막이/굴착,중,흙막이 가시설 계측(변위) 관리 미흡,진행,김현수
2026-05-20,A현장,골조,거푸집/동바리,상,동바리 수직도 불량 및 간격 과다,진행,김현수
2026-05-22,A현장,골조,콘크리트,중,양생 구간 자재 과적(적재하중 초과),완료,김현수
2026-05-23,C현장,양중,타워크레인,상,인양 작업 신호수 미배치,완료,이도현
2026-05-24,A현장,양중,타워크레인,상,인양 작업 신호수 미배치,완료,김현수
2026-05-24,B현장,정리정돈,개구부,중,바닥 개구부 덮개 고정 미흡,미조치,박정민
2026-05-26,C현장,가설,고소작업,상,고소작업대(차량형) 안전대 미체결,미조치,이도현
2026-05-28,B현장,골조,거푸집/동바리,상,동바리 수직도 불량 및 간격 과다,완료,박정민
2026-06-02,A현장,골조,거푸집/동바리,상,동바리 수직도 불량 및 간격 과다,완료,김현수
2026-06-02,A현장,토공,사면,상,우기 대비 사면 보호·배수 미흡,완료,김현수
2026-06-02,A현장,안전보건,보호구,중,안전모·안전화 미착용 적발,완료,김현수
2026-06-03,B현장,정리정돈,개구부,중,바닥 개구부 덮개 고정 미흡,미조치,박정민
2026-06-03,A현장,정리정돈,통로/자재,하,자재 적치로 통로 폭 확보 미흡,진행,김현수
2026-06-04,C현장,전기,조명,하,작업통로 조도 부족,미조치,이도현
2026-06-05,A현장,양중,타워크레인,상,인양 작업 신호수 미배치,완료,김현수
2026-06-05,B현장,외부비계,비계/발판,상,작업발판 단부 틈새·결속 불량,진행,박정민
2026-06-05,B현장,골조,거푸집/동바리,상,동바리 수직도 불량 및 간격 과다,진행,박정민
2026-06-05,A현장,외부비계,추락방지망,상,추락방지망 파손·부분 미설치,진행,김현수
2026-06-05,A현장,안전보건,보호구,중,안전모·안전화 미착용 적발,완료,김현수
2026-06-06,B현장,토공,흙막이/굴착,중,흙막이 가시설 계측(변위) 관리 미흡,완료,박정민
2026-06-06,B현장,골조,거푸집/동바리,상,동바리 수직도 불량 및 간격 과다,진행,박정민
2026-06-07,A현장,토공,흙막이/굴착,중,흙막이 가시설 계측(변위) 관리 미흡,완료,김현수
2026-06-08,B현장,정리정돈,통로/자재,하,자재 적치로 통로 폭 확보 미흡,미조치,박정민
2026-06-10,C현장,양중,타워크레인,상,인양 작업 신호수 미배치,진행,이도현
2026-06-10,C현장,외부비계,비계/발판,상,작업발판 단부 틈새·결속 불량,미조치,이도현
2026-06-12,B현장,전기,가설전기,중,분전반 누전차단기 작동 불량,미조치,박정민
2026-06-12,A현장,외부비계,추락방지망,상,추락방지망 파손·부분 미설치,진행,김현수
2026-06-13,C현장,설비,용접/화기,중,화기작업 소화기·불티방지포 미비,완료,이도현
2026-06-15,B현장,가설,고소작업,상,고소작업대(차량형) 안전대 미체결,진행,박정민
2026-06-16,B현장,골조,거푸집/동바리,상,동바리 수직도 불량 및 간격 과다,완료,박정민
2026-06-16,C현장,전기,가설전기,중,분전반 누전차단기 작동 불량,완료,이도현
2026-06-18,C현장,전기,가설전기,중,분전반 누전차단기 작동 불량,완료,이도현
2026-06-21,C현장,토공,흙막이/굴착,중,흙막이 가시설 계측(변위) 관리 미흡,완료,이도현
2026-06-22,C현장,전기,조명,하,작업통로 조도 부족,진행,이도현
2026-06-22,C현장,토공,사면,상,우기 대비 사면 보호·배수 미흡,완료,이도현
2026-06-23,C현장,전기,가설전기,중,분전반 누전차단기 작동 불량,완료,이도현
2026-06-23,C현장,골조,철근/슬래브,상,개구부·단부 안전난간 미설치,완료,이도현
